Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile,Company Website
Abraxas Petroleum Corporation,Chris Williford ,https://www.linkedin.com/in/chris-williford-82aab34b,Dirk Schwartz ,https://www.linkedin.com/in/dirk-schwartz-31879b64,https://www.abraxaspetroleum.com
"Adams Resources & Energy, Inc.",Cynthia Randolph ,https://www.linkedin.com/in/cynthia-randolph-6a814b9,Virginia Krobot ,https://www.linkedin.com/in/virginiakrobot,https://www.adamsresources.com
"Alliance Resource Partners, L.P.",Bob Fouch ,https://www.linkedin.com/in/bob-fouch-3164b59b,Cason Carter ,https://www.linkedin.com/in/cason-carter-30a63b12,https://www.arlp.com
"Alta Mesa Resources, Inc.",Lance Weaver ,https://www.linkedin.com/in/lance-weaver-6348b113,Kevin Bourque ,https://www.linkedin.com/in/kevin-bourque-36016285,https://www.altamesa.net
"Alta Mesa Resources, Inc.",Lance Weaver ,https://www.linkedin.com/in/lance-weaver-6348b113,Kevin Bourque ,https://www.linkedin.com/in/kevin-bourque-36016285,https://www.altamesa.net
"American Electric Technologies, Inc.",Charles Dauber ,https://www.linkedin.com/in/cdauber,John Untereker ,https://www.linkedin.com/in/john-untereker-24324314,https://www.aeti.com
Anadarko Petroleum Corporation,Mitchell Ingram ,https://www.linkedin.com/in/mitchell-ingram-9a42449,Mitchell Ingram ,https://www.linkedin.com/in/mitchell-ingram-9a42449,https://www.anadarko.com
Andeavor Logistics LP,Andy Woodward ,https://www.linkedin.com/in/andy-woodward-13a59712,Andy Woodward ,https://www.linkedin.com/in/andy-woodward-13a59712,https://www.andeavorlogistics.com
Antero Resources Corporation,Michael Kennedy ,https://www.linkedin.com/in/michael-kennedy-74417219,Michael Kennedy ,https://www.linkedin.com/in/michael-kennedy-74417219,https://www.anteroresources.com
Apache Corporation,George George ,https://www.linkedin.com/in/george-george-19005a134,Mark Maddox ,https://www.linkedin.com/in/mark-maddox-633bb41a,https://www.apachecorp.com
Approach Resources Inc.,"Pamela Johnson, SHRM",https://www.linkedin.com/in/dapajo2,Josh Dazey ,https://www.linkedin.com/in/josh-dazey-a640a614,https://www.approachresources.com
"Arch Coal, Inc.",Paul Lang ,https://www.linkedin.com/in/paulalang,Matt Giljum ,https://www.linkedin.com/in/matt-giljum-32376b11,https://www.archcoal.com
Atlantic Power Corporation,Terrence Ronan ,https://www.linkedin.com/in/terrence-ronan-b2b34832,Joe Cofelice ,https://www.linkedin.com/in/joe-cofelice-36a53729,N/A
"Baker Hughes, a GE company",Lorenzo Simonelli ,https://uk.linkedin.com/in/lorenzo-simonelli-951b7832,Jennifer Hartsock ,https://www.linkedin.com/in/jenniferhartsock,https://www.bhge.com/
"Ballard Power Systems, Inc.",Steven Karaffa ,https://www.linkedin.com/in/stevenkaraffa,Steven Karaffa ,https://www.linkedin.com/in/stevenkaraffa,https://www.ballard.com
"Barnwell Industries, Inc.",Alex Kinzler ,https://www.linkedin.com/in/alex-kinzler-82951920,Alex Kinzler ,https://www.linkedin.com/in/alex-kinzler-82951920,https://www.brninc.com
"Basic Energy Services, Inc.",David Schorlemer ,https://www.linkedin.com/in/dschorlemer,Trampas Poldrack ,https://www.linkedin.com/in/trampas-poldrack-8b730148,https://www.basware.com/
Baytex Energy Corp,Ed LaFehr ,https://ca.linkedin.com/in/ed-lafehr-5210331a,"Brian Ector, CFA ",https://ca.linkedin.com/in/brian-ector-cfa-58043b53,N/A
Berry Petroleum Corporation,Kenneth Olson ,https://www.linkedin.com/in/kenneth-olson-252b132a,Blair Vago ,https://www.linkedin.com/in/blairvago,https://berrypetroleum.com
BHP Group Plc,Geof Stapledon ,https://pt.linkedin.com/pub/geof-stapledon/10/744/a1?trk=biz_employee_pub,Geof Stapledon ,https://uk.linkedin.com/in/geof-stapledon-0a174410,https://www.bhpbilliton.com
