Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile
"Air T, Inc.",Nick Swenson ,https://www.linkedin.com/in/nick-swenson-976b7337,Leonard Martin ,https://www.linkedin.com/in/jleonardmartin
"Air Transport Services Group, Inc",Peter Flint Fox ,https://www.linkedin.com/in/peterflintfox,Sarah Williams ,https://www.linkedin.com/in/sarah-williams-a0a76115
"Alaska Air Group, Inc.",Shane Tackett ,https://www.linkedin.com/in/shane-tackett-1752aa5,Will Longman ,https://www.linkedin.com/in/willlongman
Allegiant Travel Company,maurice gallagher ,https://www.linkedin.com/in/maurice-gallagher-5466ab15,Chris Gullett ,https://www.linkedin.com/in/cgullett
"American Airlines Group, Inc.",Denise O'Leary ,https://www.linkedin.com/in/denise-o-leary-a4179212,"Brian McMenamy, CPA ",https://www.linkedin.com/in/brian-mcmenamy-cpa-b5416427
ArcBest Corporation,Judy McReynolds ,https://www.linkedin.com/in/judy-mcreynolds-7b81a613,Allen H. Motter ,https://www.linkedin.com/in/allen-h-motter-210019b
Ardmore Shipping Corporation,Anthony Gurnee ,https://ie.linkedin.com/in/anthony-gurnee-417466100,Thomas Hodgson ,https://www.linkedin.com/in/thomas-hodgson-b8614a7
Atlas Air Worldwide Holdings,Spencer Schwartz ,https://www.linkedin.com/in/spencer-schwartz-a74a6a1,Artem Gonopolskiy ,https://www.linkedin.com/in/artem-gonopolskiy-0b8ba58
Avianca Holdings S.A.,Artem Gonopolskiy ,https://www.linkedin.com/in/artem-gonopolskiy-0b8ba58,Gerardo Grajales ,https://www.linkedin.com/in/gerardo-grajales-83978995
Azul S.A.,COMPANIA MAR AZUL SA ,https://www.linkedin.com/pub/compania-mar-azul-sa/19/716/a9a,Abhi Shah ,https://br.linkedin.com/in/abhi-shah-71b110a
BEST Inc.,Yungtai Alex Hsu ,https://www.linkedin.com/in/yungtai-alex-hsu-1529b524,Dave Sillman ,https://www.linkedin.com/in/dave-sillman-b0a841
Brink's Company (The),Kirk von Seelen ,https://www.linkedin.com/in/kirkvonseelen/de,Kirk von Seelen ,https://www.linkedin.com/in/kirkvonseelen
Bristow Group Inc,Nicole Taylor ,https://www.linkedin.com/in/nicole-taylor-07b1bb11,Chip Earle ,https://www.linkedin.com/in/chipearlelinkedin
"C.H. Robinson Worldwide, Inc.",Molly DuBois ,https://www.linkedin.com/in/molly-dubois-842b973,Scott Shannon ,https://www.linkedin.com/in/scott-shannon-0647b015
Canadian National Railway Company,Pierre,https://ca.linkedin.com/in/pierre-louis-piotte-46324bba,"Michael Cross, CPA, CA ",https://ca.linkedin.com/in/michael-cross-cpa-ca-b785b811
Canadian Pacific Railway Limited,Mark Erceg ,https://mt.linkedin.com/pub/mark-erceg/56/214/983?trk=biz_employee_pub,Mark Erceg ,https://ca.linkedin.com/in/mark-erceg-98321456
Capital Product Partners L.P.,Jerry Kalogiratos ,https://gr.linkedin.com/in/jerry-kalogiratos-55981823,Irina Michaelides,https://gr.linkedin.com/in/irina-michaelides-taka-ab70413a
China Eastern Airlines Corporation Ltd.,Result Not Found,No Results,Result Not Found,No Results
China Southern Airlines Company Limited,Sarvottam Kumar Pathak ,https://il.linkedin.com/pub/sarvottam-kumar-pathak/b/275/50b?trk=seokp-post-author-name,50+ Qiao Lei profiles ,https://ca.linkedin.com/pub/dir/Qiao/Lei
"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",Jose Eduardo Cortes Montaño ,https://mx.linkedin.com/in/jose-eduardo-cortes-monta%C3%B1o-9b8673b8,40+ Eduardo profiles at Volaris ,https://www.linkedin.com/pub/dir/Eduardo/+/volaris-company
"Copa Holdings, S.A.",Santiago Duarte ,https://co.linkedin.com/in/santiago-duarte/de,Santiago Duarte ,https://www.linkedin.com/in/santiago-duarte
Corporacion America Airports SA,9 Cecilia profiles at Corporacion,https://www.linkedin.com/pub/dir/Cecilia/+/corporacion-america-company,Cecilia Carriquiry ,https://uy.linkedin.com/in/cecilia-carriquiry-b2a69516/de
Costamare Inc.,Konstantinos Zacharatos ,https://gr.linkedin.com/in/konstantinos-zacharatos-56b27788,Peter Lund – Vice President – Maersk Line ,https://dk.linkedin.com/in/peter-lund-3a1392138
"Covenant Transportation Group, Inc.",Rick Reinoehl ,https://www.linkedin.com/in/rick-reinoehl-b512925,Richard Cribbs ,https://www.linkedin.com/in/richard-cribbs-573b9b7
"CryoPort, Inc.",Larry G Stambaugh ,https://www.linkedin.com/in/lgstambaugh,Thomas Heinzen ,https://www.linkedin.com/in/thomas-heinzen-03b9223
"CryoPort, Inc.",Larry G Stambaugh ,https://www.linkedin.com/in/lgstambaugh,Thomas Heinzen ,https://www.linkedin.com/in/thomas-heinzen-03b9223
CSX Corporation,Ed Perez ,https://www.linkedin.com/in/ed-perez-b37a5629,Anne Reinke ,https://www.linkedin.com/in/anne-reinke-5b87956
Danaos Corporation,Fotini Kiramariou ,https://gr.linkedin.com/in/fotini-kiramariou-897842131,Filippos G. Prokopakis ,https://no.linkedin.com/pub/filippos-g-prokopakis/a/890/90?trk=biz_employee_pub
"Delta Air Lines, Inc.",Mona Harty ,https://www.linkedin.com/in/monaharty,Jay Fredericks ,https://www.linkedin.com/in/jayfredericks
