Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile,Company Website
"Advanced Emissions Solutions, Inc.",L. Heath Sampson ,https://www.linkedin.com/in/l-heath-sampson-3072027,"Lorrie Lang, SHRM",https://www.linkedin.com/in/lorriel,https://www.advancedemissionssolutions.com
AdvanSix Inc.,"Michael Preston, CFA ",https://www.linkedin.com/in/michael-preston-cfa-2521ab8,"Michael Preston, CFA ",https://www.linkedin.com/in/michael-preston-cfa-2521ab8,https://www.advansix.com
Aegion Corp,Tammi Wall ,https://www.linkedin.com/in/tammi-wall-ab69b67,Lindsay Bender ,https://www.linkedin.com/in/lindsay-bender-069b4226,https://www.aegion.com/
"Aemetis, Inc",Andy Foster ,https://www.linkedin.com/in/andyfoster00,Andy Foster ,https://www.linkedin.com/in/andyfoster00,https://www.aemetis.com
Agnico Eagle Mines Limited,Sinead McKenna ,https://ca.linkedin.com/in/sinead-mckenna-852b0388,Carol Plummer ,https://ca.linkedin.com/in/carol-plummer-34a04718,https://www.agnicoeagle.com
"Air Products and Chemicals, Inc.",Stephen Jones ,https://www.linkedin.com/in/stephen-jones-a62095a,Kearney Klein ,https://www.linkedin.com/in/kearney-klein-b200b91,https://www.airproducts.com
AK Steel Holding Corporation,Paul Hoffman ,https://www.linkedin.com/in/paul-hoffman-312434168,Kris Schirmer ,https://sg.linkedin.com/in/kris-schirmer-01575073,https://www.aksteel.com
Alamos Gold Inc.,Chris Bostwick ,https://www.linkedin.com/in/chris-bostwick-a9a9895b,Chris Bostwick ,https://www.linkedin.com/in/chris-bostwick-a9a9895b,https://www.alamosgold.com
Albany International Corporation,Patrick Wheeler ,https://www.linkedin.com/in/patrick-wheeler-24849a1b,Patrick Wheeler ,https://www.linkedin.com/in/patrick-wheeler-24849a1b,https://www.albint.com
Albemarle Corporation,Karen Narwold ,https://www.linkedin.com/in/karen-narwold-6093b9a,Karen Narwold ,https://www.linkedin.com/in/karen-narwold-6093b9a,https://www.albemarle.com/
Alcoa Corporation,"Renato Bacchi, CFA ",https://www.linkedin.com/in/renato-bacchi-cfa-6a14864,"Renato Bacchi, CFA ",https://www.linkedin.com/in/renato-bacchi-cfa-6a14864,https://www.alcoa.com
Alexco Resource Corp,Neil Chambers ,https://www.linkedin.com/in/neil-chambers-00993346,Tim Hall ,https://ca.linkedin.com/in/tim-hall-b5823120,https://www.alexcoresource.com
Alio Gold Inc.,"Colette Rustad, CPA (CA) ",https://ca.linkedin.com/in/colette-rustad,"Jason Gregg, BBA, MBA, CPHR ",https://ca.linkedin.com/in/jason-gregg-bba-mba-cphr-b4026126,https://www.aliogold.com
Allegheny Technologies Incorporated,Patricia Catania ,https://www.linkedin.com/in/patricia-catania-55698379,Kevin Ceraso ,https://www.linkedin.com/in/kevin-ceraso-494b6314b,https://www.atimetals.com/
"Almaden Minerals, Ltd.",Thomas Ullrich ,https://ca.linkedin.com/in/thomas-ullrich-807643116,Laurence Morris ,https://uk.linkedin.com/in/laurence-morris-8818657a,https://www.almadenminerals.com
Aluminum Corporation of China Limited,Xuqiang Lai ,https://uk.linkedin.com/in/xuqiang-lai-405a40179,Na Zhang ,https://au.linkedin.com/pub/na-zhang/3a/904/475?trk=biz_employee_pub,https://www.chalco.com.cn
