Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile
"22nd Century Group, Inc",Henry Sicignano III ,https://www.linkedin.com/in/henry-sicignano-iii-026b0236,Michael Moynihan ,https://www.linkedin.com/in/michael-moynihan-93410a14
Acushnet Holdings Corp.,"Breanna Tyson, CPA ",https://www.linkedin.com/in/breanna-tyson-cpa-6149a522,Eric Soderlund ,https://www.linkedin.com/in/eric-soderlund-501946129
Adecoagro S.A.,Esteban Figueroa ,https://ar.linkedin.com/in/esteban-figueroa-8abb8651,Marcia Barneche ,https://ar.linkedin.com/in/marcia-barneche-ba75a8132
"Alico, Inc.",John Kiernan ,https://www.linkedin.com/in/cfojohnkiernan,Bob Kelley ,https://www.linkedin.com/in/dubrk1
Altria Group,Brian Quigley ,https://www.linkedin.com/in/brian-quigley,Dan Cornell ,https://www.linkedin.com/in/dan-cornell-50352834
Amalgamated Bank,Keith Mestrich ,https://www.linkedin.com/in/keith-mestrich-a564269,Bierkis De Leon ,https://www.linkedin.com/in/bierkis-de-leon-100a3934
Ambev S.A.,Claudio Garcia ,https://www.linkedin.com/in/claudio-garcia-01066051,Claudio Garcia ,https://www.linkedin.com/in/claudio-garcia-01066051
AMCON Distributing Company,Andy Plummer ,https://www.linkedin.com/in/andy-plummer-989aa53,Chuck Schmaderer ,https://www.linkedin.com/in/chuckschmaderer
Amira Nature Foods Ltd,Bruce Wacha ,https://www.linkedin.com/in/bruce-wacha-7b062ba4,Bruce Wacha ,https://www.linkedin.com/in/bruce-wacha-7b062ba4
Anheuser-Busch Inbev SA,Edzo Wisman ,https://uk.linkedin.com/in/edzowisman,James Brickey ,https://www.linkedin.com/in/jamesbrickey
Anixter International Inc.,Ted Dosch ,https://www.linkedin.com/in/ted-dosch-9660069,Ted Dosch ,https://www.linkedin.com/in/ted-dosch-9660069
"AptarGroup, Inc.",Stephan Tanda ,https://www.linkedin.com/in/stephantanda,Antonio D&#39;Alessandro ,https://www.linkedin.com/in/antonio-d-alessandro-0b4a0232
Archer-Daniels-Midland Company,Joseph Taets ,https://www.linkedin.com/in/joseph-taets-44229611a,PAUL W. NIELANDER ,https://www.linkedin.com/in/paulwnielander
"Arcimoto, Inc.",David Boyd ,https://www.linkedin.com/in/david-boyd-516a383,Jesse Fittipaldi ,https://www.linkedin.com/in/jesse-fittipaldi-109647105
"Arlo Technologies, Inc.",Matthew McRae ,https://www.linkedin.com/in/mbmcrae,Scott McManigal ,https://www.linkedin.com/in/scottmcmanigal
"Armstrong Flooring, Inc.",Don Maier ,https://www.linkedin.com/in/don-maier-5968656,Deb Lechner ,https://www.linkedin.com/in/deb-lechner-71457b3
Armstrong World Industries Inc,Don Maier ,https://www.linkedin.com/in/don-maier-5968656,Susan Rhoades ,https://www.linkedin.com/in/susan-rhoades-527938a
"Arrow Electronics, Inc.",Mike Calabria ,https://www.linkedin.com/in/mikecalabria,Ben Klay ,https://www.linkedin.com/in/ben-klay-b7490328
"Avnet, Inc.",Aviv Leshem ,https://il.linkedin.com/in/aviv-leshem-8a07614,Jim Azzinaro ,https://www.linkedin.com/in/jim-azzinaro-85789813
"Avon Products, Inc.",Linda LoRe ,https://www.linkedin.com/in/linda-lore-69040017,Gina Calvario Fitzsimons ,https://www.linkedin.com/in/gina-calvario-fitzsimons-55469b3
"B&G Foods, Inc.",Robert Cantwell ,https://www.linkedin.com/in/robert-cantwell-02884711,Vanessa Maskal ,https://www.linkedin.com/in/vanessa-maskal-aa17251b
"Berry Global Group, Inc.",Christine Hanson ,https://www.linkedin.com/in/christine-hanson-b86a0014,Bobby Stead ,https://www.linkedin.com/in/bobby-stead-82535a14
"Boston Beer Company, Inc. (The)",Result Not Found,No Results,Result Not Found,No Results
Brasilagro Cia Brasileira De Propriedades Agricolas,Julio Toledo Piza ,https://www.linkedin.com/in/julio-toledo-piza-96411a10a,Rafael Tapetti ,https://br.linkedin.com/in/rafael-tapetti-0a0aa060
BRF S.A.,Damba Sowe ,https://www.linkedin.com/in/damba-sowe-58b171168,Juhui Huang ,https://cn.linkedin.com/in/juhui-huang-58903612
Bridgford Foods Corporation,John Simmons ,https://www.linkedin.com/in/john-simmons-52072739,Richard Bridgford ,https://www.linkedin.com/in/richard-bridgford-478146123
"BrightView Holdings, Inc.","Roy Nir, CPA ",https://www.linkedin.com/in/roynir,Brett Urban ,https://www.linkedin.com/in/brett-urban-9552237
British American Tobacco p.l.c.,Ricardo Oberlander ,https://www.linkedin.com/in/ricardo-oberlander-0038965,Adi Trbonja ,https://uk.linkedin.com/in/adi-trbonja-08a8383
Bunge Limited,Alberto Weisser ,https://www.linkedin.com/in/alberto-weisser-726bb130,"Matt Simmons, CPA ",https://www.linkedin.com/in/mattsimmonscpa
"Calavo Growers, Inc.",Eyvonne Ortega ,https://www.linkedin.com/in/eyvonne-ortega-51023974,Rob Wedin ,https://www.linkedin.com/in/rob-wedin-b5151150
"Caleres, Inc.",Dawn Mason ,https://www.linkedin.com/in/dawn-mason-457176109,James Hanna ,https://www.linkedin.com/in/jameshanna2
Callaway Golf Company,Donald Dye ,https://www.linkedin.com/in/donald-dye-b0b46210,Julie Maloy ,https://www.linkedin.com/in/julie-maloy-11a64b4?trk=prof-samename-picture
"Cal-Maine Foods, Inc.",Tim Dawson ,https://www.linkedin.com/in/tim-dawson-a12a0211,Mike Castleberry ,https://www.linkedin.com/in/mike-castleberry-28508218
