Company,Position,Name,Linkedin,Company Website
"3PEA International, Inc.","Chairman, President and Chief Executive Officer",Christopher Newcomer,N/A,https://www.3pea.com
"3PEA International, Inc.",Chief Financial Officer,Brian Polan,https://www.linkedin.com/in/brian-polan-95288b11,https://www.3pea.com
"3PEA International, Inc.",Chief Information Officer and Director,Daniel Spence,https://www.linkedin.com/in/daniel-spence-3982471b,https://www.3pea.com
Acacia Research Corporation,Office of the Chairman,Edward W. Frykman,N/A,https://www.acaciaresearch.com
Acacia Research Corporation,Office of the Chairman,G. Louis Graziadio,N/A,https://www.acaciaresearch.com
Acacia Research Corporation,Office of the Chairman,Robert L. Harris,N/A,https://www.acaciaresearch.com
Accenture plc,Authorised Signing Officer,"AHLSTROM SCOTT, K.",N/A,https://www.accenture.com
Accenture plc,Authorised Signing Officer,"ALBEROS MINGUELA, TERESA",N/A,https://www.accenture.com
Accenture plc,Authorised Signing Officer,"ALONSO ARRANZ, CARLOS",N/A,https://www.accenture.com
"Akamai Technologies, Inc.",EVP and CFO,James Benson,https://www.linkedin.com/in/jim-benson-a747aa,https://www.akamai.com/
"Akamai Technologies, Inc.",Chairman,George H. Conrades,https://www.linkedin.com/in/georgeconrades,https://www.akamai.com/
"Akamai Technologies, Inc.",CEO,F. Thomson Leighton,N/A,https://www.akamai.com/
Alibaba Group Holding Limited,,N/A,N/A,https://www.alibabagroup.com
Alibaba Group Holding Limited,,N/A,N/A,https://www.alibabagroup.com
Alibaba Group Holding Limited,,N/A,N/A,https://www.alibabagroup.com
"ALJ Regional Holdings, Inc.",,N/A,N/A,https://www.aljregionalholdings.com
"ALJ Regional Holdings, Inc.",,N/A,N/A,https://www.aljregionalholdings.com
"ALJ Regional Holdings, Inc.",,N/A,N/A,https://www.aljregionalholdings.com
Alliance Data Systems Corporation,President and CEO,Edward J. Heffernan,https://www.linkedin.com/in/edward-heffernan-3249646b,https://www.alliancedata.com
Alliance Data Systems Corporation,EVP and CFO,Charles L. Horn,https://www.linkedin.com/in/edward-heffernan-3249646b,https://www.alliancedata.com
Alliance Data Systems Corporation,Chairman,Robert A. Minicucci,https://www.linkedin.com/in/rob-minicucci-745aa043,https://www.alliancedata.com
Arotech Corporation,Vice President; General Counsel; Corporate Secretary,Yaakov Har-Oz,N/A,https://www.arotech.com
Arotech Corporation,,N/A,N/A,https://www.arotech.com
Arotech Corporation,,N/A,N/A,https://www.arotech.com
Atkore International Group Inc.,,N/A,N/A,https://www.atkore.com
Atkore International Group Inc.,,N/A,N/A,https://www.atkore.com
Atkore International Group Inc.,,N/A,N/A,https://www.atkore.com
"B. Riley Financial, Inc.","Managing Director, National Practice Leader Energy",Robert Callaway,N/A,https://www.brileyfin.com
"B. Riley Financial, Inc.",Associate Project Manager,Jason Gomes,N/A,https://www.brileyfin.com
"B. Riley Financial, Inc.",Chb-ceo,Andy Gumaer,N/A,https://www.brileyfin.com
"B. Riley Financial, Inc.","Managing Director, National Practice Leader Energy",Robert Callaway,N/A,https://www.brileyfin.com
"B. Riley Financial, Inc.",Associate Project Manager,Jason Gomes,N/A,https://www.brileyfin.com
"B. Riley Financial, Inc.",Chb-ceo,Andy Gumaer,N/A,https://www.brileyfin.com
"B. Riley Financial, Inc.","Managing Director, National Practice Leader Energy",Robert Callaway,N/A,https://www.brileyfin.com
"B. Riley Financial, Inc.",Associate Project Manager,Jason Gomes,N/A,https://www.brileyfin.com
"B. Riley Financial, Inc.",Chb-ceo,Andy Gumaer,N/A,https://www.brileyfin.com
"B. Riley Financial, Inc.","Managing Director, National Practice Leader Energy",Robert Callaway,N/A,https://www.brileyfin.com
"B. Riley Financial, Inc.",Associate Project Manager,Jason Gomes,N/A,https://www.brileyfin.com
"B. Riley Financial, Inc.",Chb-ceo,Andy Gumaer,N/A,https://www.brileyfin.com
