Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures
2006 BMW 3 Series,"$4,600","2006 BMW 330xi ( Highest model AWD) Clean title , Clean car-fax 125k miles Runs and drives with absolutely no issues at all. Very clean black leather interior, Black exterior is in very good condition( Has a couple minor scratches/ no dents or any major wear). The windshield did develop a small hair line crack but cant really see it from inside. Has a lot of neat features like sunroof, heated front seats , fog lights , and bluetooth capabilities, built in aux, push to start, climate control, ect... Overall an amazing daily driver, and all maintenance is completely up to date. Price is 4800 or best offer, please do not send me ridiculous offers.","125,000 miles",https://www.facebook.com/marketplace/item/385281238950684/,17
2001 BMW 3 Series,"$3,300","I will not respond to ""is this still available"" I Don't drive it as much it's my second vehicle so I'm posting it up to see what I can get for it. Pretty firm on price. It's a 325 but the motor has been swapped from a 330ci with only 57000 miles on it now. Body and transmission are what the odometer shows. Which is around 179,xxx I'll update later with actual miles. Has M front bumper swap led headlights and led fog lights. Led license plate lights. No cel or problems at all. Lowered on shit eBay coilovers. Tires are really good. Clean inside and out. No rips on red leather interior. All windows are tinted. Will come with cargo storage roof rack. Motor swap and lowering was done by previous owner. Any more questions message me","57,000 miles",https://www.facebook.com/marketplace/item/2259748407380185/,9
2011 Honda Pilot,"$4,800",Beautiful truck perfect for snow season Third row seats Clean title Scratch less body 0 mechanical issue Recently done oil change Good to go,N/A,https://www.facebook.com/marketplace/item/251172569147702/,7
1994 Toyota Pickup,"$3,700",Good shape has some rust but drive it everyday runs good no lowball offers buy the other rusted out beat to death ones not taking 2500 so don't bother me has 212 miles on it but new heads timing belt at 170 any other reasonable question message me,"212,000 miles",https://www.facebook.com/marketplace/item/572818173123588/,5
2004 Subaru Forester,"$2,000","I am selling my 2004 Subaru Forester 2.5X 5 speed. Slid on ice and hit a tree, no damage to the hood or driver side door, it can still drive in the condition that it is in. There are no problems with the car, it runs great and has never left me stranded, but I don’t have the money to fix it right now. It has a straight pipe with a glass pack. I also put in a new Axxera head unit.","175,000 miles",https://www.facebook.com/marketplace/item/752803801768870/,10
2006 Honda Accord,"$1,995",N/A,"222,285 miles",https://www.facebook.com/marketplace/item/1153826678130209/,8
2013 Chevrolet Malibu,"$5,500",N/A,"67,000 miles",https://www.facebook.com/marketplace/item/1091211101085750/,8
2001 Honda Civic,"$1,800",Good...,"195,871 miles",https://www.facebook.com/marketplace/item/564928873981510/,3
2000 Honda Civic,"$2,200","I got honda Civic dx 2000 automátic runs good ,115 on the dash,good ac and heater also it has a pioneer radio,good inspection $2200$ or best offer if you got any questions call [hidden information]",115 miles,https://www.facebook.com/marketplace/item/386863745208723/,2
2014 GMC Terrain,"$23,595","WE FINANCE. 3.6 LITER V-6 LEATHER NAVIGATION HEATED SEATS POWER MOONROOF 🔸 Bad credit, good credit, no credit, repo, bankruptcy, self employed, divorced, open auto loan - EVERYONE IS APPROVED! We have been in business for 27 years and have a great relationship with the banks!! RE-ESTABLISH & BUILD YOUR CREDIT!!! It’s BURNS AUTO GROUP 218 Lincoln Hwy. Fairless Hills pa 19030 Here at burns Auto Group the majority of our vehicles are still under factory warranty!!!! *We also provide a 3month warranty free of cost🔥 (additional are for sale with purchase of the vehicle) *Paul burns Auto Group offers top dollar for your trades!! *Every vehicle has new P.A Inspection!!","55,540 miles",https://www.facebook.com/marketplace/item/551349738701143/,4
1998 Jeep Wrangler,"$6,500",1998 Jeep Wrangler Sahara runs great 4.0 Interior in excellent condition daily drivin,"200,000 miles",https://www.facebook.com/marketplace/item/292415128289515/,4
1996 Volkswagen Passat,"$1,250","96 VW PASSAT TDI SOLD AS IS, 186,000 Miles. Needs Ignition, Serpentine Belt, Water Pump Belt. Rotors warped, needs sold ASAP. Price Negotiable. Give me an offer. New Clutch, New Flywheel, New Slave Cylinder, Extra Mann Fuel Filter, Extra Fog Lamps, one extra OEM Wheel Bearing included.","186,000 miles",https://www.facebook.com/marketplace/item/539753626535453/,2
2008 BMW 3 Series,"$4,410","Yes this is available if you see this listing it is available I’m selling 2008 BMW 535 four-door sedan car it has 102,000 miles clean title perfect condition runs and drives excellent all the options and Button works as you can see pictures it is exactly very nice clean car this is BMW serious people only cash in hand no holds please contact me [hidden information] thank you","102,000 miles",https://www.facebook.com/marketplace/item/799509567069025/,20
2001 Honda CR-V,"$1,550","Clean title—runs like new —-super clean. Miles 179,000 year 2001. $1550.","179,000 miles",https://www.facebook.com/marketplace/item/298298744163648/,10
2016 Kia Optima Hybrid,"$17,582",By Dealer https://www.sussmanauto.com/VehicleDetails/used-2016-Kia-Optima_Hybrid-4dr_Sdn_EX-Jenkintown-PA/3362362093,"25,915 miles",https://www.facebook.com/marketplace/item/377976579679392/,4
2008. 126 mi 4x4 >$ 8.500,"$8,500",N/A,"8,500 miles",https://www.facebook.com/marketplace/item/286056685408182/,8
2011 Dodge Charger,"$6,500","White and black interior, sun roof no accident .! I’m","85,000 miles",https://www.facebook.com/marketplace/item/973531859701212/,4
2006 Pontiac G6,"$2,500","For sale a super clean Pontiac G6 runs and drives great comes with 160,000 miles clean cloth seats working heat and air tinted windows CD player with aux port come get it for 2,500","160,000 miles",https://www.facebook.com/marketplace/item/546079565889150/,7
2005 Volkswagen Passat,"$2,400","Clean title—-runs new—miles 192,000 year 2005. $2400","192,000 miles",https://www.facebook.com/marketplace/item/389883568242392/,5
2008 Nissan Altima,"$2,500",N/A,"135,000 miles",https://www.facebook.com/marketplace/item/1178765708956513/,4
2004 Nissan Altima,"$1,500","Nissan altima AÑO 2004 automatico en perfecto estado MILLAJE 168,408 PRESIO $1500 interesados inbox💓","168,408 miles",https://www.facebook.com/marketplace/item/770650216651113/,5
2003 Nissan Altima,"$1,000",1000 obo come get it dont low ball me please,"1,000 miles",https://www.facebook.com/marketplace/item/295309471168618/,5
2002 Honda Accord,"$2,200","2002 Honda Accord EX - v6 Engine - Automatic - Transmission - Leather Seats - Power Windows and Locks - 6CD Stereo - Mag Wheels - Sunroof - Runs and Drives Strong - 122,000 Miles","122,000 miles",https://www.facebook.com/marketplace/item/231003624454622/,5
2007. 109 mi. V6 >$ 4.500,"$4,500",N/A,"4,500 miles",https://www.facebook.com/marketplace/item/529954224165773/,5
2003 Honda Pilot,"$3,950",N/A,"190,500 miles",https://www.facebook.com/marketplace/item/2526859627356491/,3
2001 Toyota Celica,"$2,000",N/A,"160,000 miles",https://www.facebook.com/marketplace/item/527266411108952/,0
2007 Ford Crown Victoria,"$2,500","Selling my 2007 police interceptor. The vehicle is still equipped with all sirens and lighting, all in good working order. Car has a new battery, radiator, and fresh tube up including oil, filters, and plugs. Open to trades but prefer cash. Absolutely nothing wrong with it, it makes for a fun daily driver.","17,000 miles",https://www.facebook.com/marketplace/item/674236583011132/,10
2013 Jeep Wrangler,"$29,900","We offer financing for everyone no matter what their credit situation may be. Good credit, bad credit or no credit, NO PROBLEM! Inbox me today to setup your appointment and let’s get you driving TODAY!! Ofrecemos financiamiento para todos, sin importar cuál sea su situación crediticia. Buen crédito, mal crédito o ningún crédito, ¡NO HAY PROBLEMA! ¡Recíbame hoy para programar su cita y déjenos conducir HOY!","71,000 miles",https://www.facebook.com/marketplace/item/371485813669135/,17
1990 Nissan 240SX,$800,"1990 Nissan 240sx coupe part out. Would rather not ship anything but willing to meet up in a reasonable distance. Dual cam ka (just the engine, can work something out for a full swap) $400.00 Ka 5 speed trans $150.00 (3x) driver side axle $70.00 Pass side axle $70.00 Rev9 s13 coilovers $400.00 Isis ruca $50.00 Isis tow arms $50.00 Isis pro angled tension rods $100.00 Villians full angle kit (modded knuckles, maxima inner tie rods, extended lowers) $250.00 Villains dual caliper set up (brackets, calipers and pads, and lines.) $200.00 Bride low max rep $170.00 Racequip harness (not expired) $50.00 Autopower rollbar/halfcage $300.00 Planted tech seat bracket (pretty much brand new, fixed) $100.00 Square g8 wheels 17x9 et15 4x114.3 (the one silver one is curbed pretty bad) $400.00 Blue dash. Has cracks $70.00 Beat up skirts $50.00 Coupe over fenders unknown brand $100.00 eBay exhaust $100.00 S14 pass seat $30.00 Rolling shell. On stock suspension stock wheels $600.00 bucks Anything else that’s not listed just message me. I know i forgot a lot.",N/A,https://www.facebook.com/marketplace/item/566293497217416/,7
2014. 68 mi. 4x4 v8. >$ 16.500,"$16,500",N/A,"16,500 miles",https://www.facebook.com/marketplace/item/378220376306154/,4
2000 Ford Taurus,"$1,350",Runs good low miles small dent in back that can be knocked out new inspection good until 12/19,"96,000 miles",https://www.facebook.com/marketplace/item/2304499883162217/,3
2011 Nissan Sentra,"$2,950",161000 Miles Clean & Beautiful GREAT GAS SAVER GPS navigation Bluetooth touchscreen radio Leather seats Seat warms Regularly maintenance No issues or problems ready to drive anywhere Excellent engine & transmission Excellent suspension Runs great Ice cold AC ❄️ Hot air 🔥,"160,000 miles",https://www.facebook.com/marketplace/item/1347262442080912/,10
2005 GMC Envoy,"$3,800","Great Condition, Great Driving GMC Envoy, has Clean Heated Leather Seats, Sunroof, Bluetooth / DVD head unit, Chrome Wheels, good tires, 4 Wheel Drive, Needs Nothing! Low Miles, Clean Title in hand! Message me to check it out!","124,000 miles",https://www.facebook.com/marketplace/item/396348617606036/,7
1994 Chevrolet Caprice,"$1,800",94 Chevy caprice 4 door running 100%,N/A,https://www.facebook.com/marketplace/item/2484658034896439/,3
2017. 16 mi. >$ 9.500,"$9,500",N/A,"9,500 miles",https://www.facebook.com/marketplace/item/255128628719859/,6
2003 Lincoln Navigator,"$1,600",N/A,"145,000 miles",https://www.facebook.com/marketplace/item/1970884536538995/,8
