Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures,Fair Price Rating
2007 Nissan Altima 2.5 S Sedan 4D,"$3,900",N/A,"95,200 miles",https://www.facebook.com/marketplace/item/257223368542664/,16,N/A
2010 Nissan Altima Coupe Sports,"$3,500",N/A,"148,750 miles",https://www.facebook.com/marketplace/item/825004287831892/,10,N/A
2006 Honda Accord EX Sedan 4D,"$2,800",N/A,"175,000 miles",https://www.facebook.com/marketplace/item/628091410941295/,9,1859
2008 Honda Civic Si Coupe 2D,"$5,800",N/A,"126,000 miles",https://www.facebook.com/marketplace/item/2206360276360299/,19,N/A
2008 Honda Civic,"$5,300",N/A,"107,000 miles",https://www.facebook.com/marketplace/item/357491608181013/,8,N/A
,"$3,000",N/A,,https://www.facebook.com/marketplace/item/836603483350722/,8,N/A
,,N/A,,https://www.facebook.com/marketplace/item/353706018575715/,8,N/A
,,N/A,,https://www.facebook.com/marketplace/item/157315525155699/,7,N/A
2007 Nissan Altima 3.5 SE Sedan 4D,"$3,000",N/A,"180,000 miles",https://www.facebook.com/marketplace/item/327623331204530/,13,N/A
,"$4,300",N/A,,https://www.facebook.com/marketplace/item/224987855011849/,8,N/A
,,N/A,,https://www.facebook.com/marketplace/item/577858949355207/,7,N/A
,,N/A,,https://www.facebook.com/marketplace/item/393284091228217/,17,N/A
2010 Nissan Maxima S Sedan 4D,"$3,700",N/A,"150,000 miles",https://www.facebook.com/marketplace/item/382468955897716/,7,N/A
,"$5,200",N/A,,https://www.facebook.com/marketplace/item/1984880061808882/,13,N/A
,,N/A,,https://www.facebook.com/marketplace/item/312555396113089/,11,N/A
,,N/A,,https://www.facebook.com/marketplace/item/2294668157482059/,9,N/A
2010 Honda Accord LX Sedan 4D,"$4,800",N/A,"125,300 miles",https://www.facebook.com/marketplace/item/362152834640551/,7,N/A
,"$4,200",N/A,,https://www.facebook.com/marketplace/item/783352622015503/,6,N/A
,,N/A,,https://www.facebook.com/marketplace/item/340299799910477/,10,N/A
