Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures
,0,,N/A,,0
,0,,N/A,,0
2012 Mazda Mazda5 Sport Minivan 4D,"$7,500",Clean Title ,"Driven 159,246 miles",https://www.facebook.com/marketplace/item/613085283250046/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254834318246347762%22%2C%22mf_story_key%22%3A%224791987180840376%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4791987180840376%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A2%2C%5C%22ranking_signature%5C%22%3A4995723212143722496%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00050121107921206%7D%22%7D,0
2004 Nissan 350Z Coupe 2D,"$8,500",Todo aldia corre como nuevo ,"Driven 61,000 miles",https://www.facebook.com/marketplace/item/892037461434739/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254834318246347762%22%2C%22mf_story_key%22%3A%224602780816496321%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4602780816496321%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A3%2C%5C%22ranking_signature%5C%22%3A4995723212143722496%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00050121007921206%7D%22%7D,5
2007 Ford F-150 XLT Pickup 4D 8 ft,"$10,499","2007 Ford F 150 4wD v8 cree cab4.6 xlt128,745 miles excellent condition motor and transmition clean title inspection 08/2022 no problem 4 tires new the price is fixed See less","Driven 128,745 miles",https://www.facebook.com/marketplace/item/212345240871565/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254834318246347762%22%2C%22mf_story_key%22%3A%226009870195721493%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6009870195721493%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A4%2C%5C%22ranking_signature%5C%22%3A4995723212143722496%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00050120907921206%7D%22%7D,19
2005 Mercedes-Benz E-Class E 500 4MATIC Sedan 4D,"$7,000",good condition ,"Driven 129,000 miles",https://www.facebook.com/marketplace/item/3172831412998479/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254834318246347762%22%2C%22mf_story_key%22%3A%226588161687923641%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6588161687923641%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A5%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00042291100173853%7D%22%7D,19
,0,,N/A,,0
,0,,N/A,,0
2005 Honda Accord,"$4,500","2005 Honda Accord · Sedan · Driven 1,200 miles

 ","Driven 1,200 miles",https://www.facebook.com/marketplace/item/276021587883408/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254834318246347762%22%2C%22mf_story_key%22%3A%225365651890133406%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A5365651890133406%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A7%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00034502150733982%7D%22%7D,5
2008 Infiniti m35x,"$7,500",Clean title runs and drives great luxury an fully loaded back up camera and navigation ,"Driven 130,000 miles",https://www.facebook.com/marketplace/item/154808660155965?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254834318246347762%22%2C%22mf_story_key%22%3A%224581242828635538%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4581242828635538%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A9%2C%5C%22ranking_signature%5C%22%3A5949844282780155904%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00056809247491831%7D%22%7D,6
