Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures
2004 Honda Accord,"$1,800",2004 Honda Accord absolutely nothing wrong with it no lights on just a minor hit in the front passenger side the rest of car is clean as it can be all 4 matching tires,N/A,https://www.facebook.com/marketplace/item/630527067367440/,2
2016 Mercedes-Benz GLA,"$33,981",AMG!!! GLA 45 AMG. don’t miss this one. Super clean. Runs perfect. Here’s your chance to own this car for a fraction of the price of a new one. Call or txt mike at [hidden information]. Financing available. Good credit bad credit no problem.,"74,626 miles",https://www.facebook.com/marketplace/item/980260485506528/,3
2012 Chevrolet Camaro,"$15,991",1 Owner Car Clean Car Fax 3.6L 6 cyl. Low Miles ****PRICED BELOW AVERAGE**** Bluetooth Sat Radio Keyless entry Rear Spoiler,"33,375 miles",https://www.facebook.com/marketplace/item/2231496383783917/,3
2004 Toyota Matrix,"$2,800",Up for sale is a 2004 Toyota matrix XR sport In mint condition with automatic transmission and 137k mileage. The car drives like new. No mechanical issue. No engine might. No warning light. Everything works in the car. Car is clean from inside to outside. Clean engine bay. Comes 115V AC outlet for charging most electronics.. selling $2800. Call or text at [hidden information]. Serious buyers only.,"137,000 miles",https://www.facebook.com/marketplace/item/304746780396322/,11
2010 Honda Civic,"$1,639","Selling it for my parents, was in the accident, clean title no air bags deployed, front end damage $2500 obo","245,000 miles",https://www.facebook.com/marketplace/item/2185861491711509/,7
2005 Honda Odyssey,"$3,200","This 2005 Honda Odyssey EX is in good condition both inside and out with 188,000 miles. The odyssey van come equipped with a 6 cylinder engine,automatic transmission ,all power equipment and current Pa inspection. Dealer","188,000 miles",https://www.facebook.com/marketplace/item/244380269781668/,18
2007 BMW 750i,"$8,500","2007 BMW 750i, 80,000 miles, very Low miles, sport model, All power options, Navi, Heated & cooled seat, power rear and side shades, Clean Title, one owner, No check engine Light, NO Leaks, NO smoke, NO accidents,","80,000 miles",https://www.facebook.com/marketplace/item/2071310153161251/,20
2007 Acura MDX,"$7,500",2007 Acura MDX. Clean title. Fully loaded navigation backup camera sunroof leather seats. Runs 100% strong no check engine light no mechanical problems. Asking 7500 or best offer.,"91,000 miles",https://www.facebook.com/marketplace/item/387106075389128/,9
1988 BMW 3 Series,"$3,000",BMW 325i convertible with only 88k miles. It is a rolling shell. Its been sitting in a storage unit which I'm getting rid of. This was a project car so I'm parting out everything BMW 325i convertible rolling shell- $3000 needs new rear window ZF five speed manual Tranny 88k miles-$800 M52TUB28 83k miles-$600 Brand new Ebay t3/t4 turbo kit-$400 Brand new Mishimoto intercooler-$150 Brand new BMW e36 Z3 steering rack and pinion-$800 Brand new e30 m20 tubular manifold-$150 E30 m20 ported and polished head-$200,"88,300 miles",https://www.facebook.com/marketplace/item/2410703925872071/,17
2000 Saturn S-Series,"$2,100","200 Saturn SL2 144K $2100 Runs great, inspected, [hidden information]","144,000 miles",https://www.facebook.com/marketplace/item/384328129070231/,10
2011 Nissan Sentra,"$2,950",161000 Miles Clean & Beautiful GREAT GAS SAVER GPS navigation Bluetooth touchscreen radio Leather seats Seat warms Regularly maintenance No issues or problems ready to drive anywhere Excellent engine & transmission Excellent suspension Runs great Ice cold AC ❄️ Hot air 🔥,"160,000 miles",https://www.facebook.com/marketplace/item/1347262442080912/,10
2003 Dodge Ram 1500 Quad Cab,"$3,000","Nice everyday work truck new water pump, new power steering pump, new ball joints new catalytic converter, replaced almost all sensors,new brakes interior is very clean comes with tool box some dings but nothing major. Asking 2,500 obo.","170,000 miles",https://www.facebook.com/marketplace/item/376217626260666/,8
2008 suazuki Quad Sport 50,$600,Funds good no problems with it,N/A,https://www.facebook.com/marketplace/item/298369514159582/,2
