Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures,Fair Price Rating
2009 Nissan Altima,"$3,600",N/A,"111,000 miles",https://www.facebook.com/marketplace/item/605972493207546/,5,N/A
2010 Honda Civic,"$4,200",N/A,"75,000 miles",https://www.facebook.com/marketplace/item/781738288859770/,0,N/A
2010 Nissan Altima 2.5 S Sedan 4D,"$3,800",N/A,"125,000 miles",https://www.facebook.com/marketplace/item/772334863142790/,7,N/A
2010 Honda Accord,"$4,200",N/A,"140,000 miles",https://www.facebook.com/marketplace/item/357653408299237/,3,N/A
2006 Acura TL,"$4,000",N/A,"167,000 miles",https://www.facebook.com/marketplace/item/603456653461204/,8,1404
2010 Honda Accord EX Coupe 2D,"$4,500",N/A,"120,000 miles",https://www.facebook.com/marketplace/item/503244883539060/,7,N/A
2009 Honda Civic LX Coupe 2D,"$4,500",N/A,"181,675 miles",https://www.facebook.com/marketplace/item/568639120279478/,20,N/A
2010 Honda Accord LX Sedan 4D,"$4,600",N/A,"85,281 miles",https://www.facebook.com/marketplace/item/1891720374271157/,8,N/A
2012 Chevrolet Malibu LS Sedan 4D,"$3,499",N/A,"160,000 miles",https://www.facebook.com/marketplace/item/577858949355207/,7,N/A
2004 Acura TL 3.2 Sedan 4D,"$3,900",N/A,"159,000 miles",https://www.facebook.com/marketplace/item/558954687909594/,10,N/A
2009 Nissan Altima 2.5 S,"$3,398",N/A,"141,622 miles · Dealership",https://www.facebook.com/marketplace/item/736866473352019/,2,N/A
2009 Honda Civic,"$4,000",N/A,N/A,https://www.facebook.com/marketplace/item/558402154658020/,2,N/A
2012 Nissan Altima,"$3,800",N/A,"132,200 km",https://www.facebook.com/marketplace/item/302001643791975/,10,N/A
2011 Toyota Camry,$6,N/A,"150,000 miles",https://www.facebook.com/marketplace/item/486720575198550/,8,N/A
2015 Honda Accord Sport,"$2,000",N/A,"72,048 miles",https://www.facebook.com/marketplace/item/1108174072689923/,10,N/A
2007 Dodge Charger SE Sedan 4D,"$2,250",N/A,"182,616 miles",https://www.facebook.com/marketplace/item/392307368199073/,10,N/A
2010 Nissan Altima Coupe Sports,"$3,500",N/A,"148,750 miles",https://www.facebook.com/marketplace/item/825004287831892/,10,N/A
2007 Acura TL,"$5,000",N/A,"145,000 miles",https://www.facebook.com/marketplace/item/2238789066239672/,6,N/A
2008 Honda Civic DX Coupe 2D,"$3,800",N/A,"127,000 miles",https://www.facebook.com/marketplace/item/300317117300409/,2,N/A
2004 Honda Civic,"$4,500",N/A,"118,000 miles",https://www.facebook.com/marketplace/item/2027691410675489/,9,N/A
2008 Honda Accord,"$4,500",N/A,N/A,https://www.facebook.com/marketplace/item/780453402313725/,5,N/A
2008 Honda Accord EX Sedan 4D,"$3,200",N/A,"200,000 miles",https://www.facebook.com/marketplace/item/555199844990318/,4,N/A
2010 Honda Civic DX Sedan 4D,"$3,300",N/A,"146,523 miles",https://www.facebook.com/marketplace/item/2084688738234964/,2,N/A
2008 Mitsubishi Lancer ES Sedan 4D,"$3,490",N/A,"115,006 miles",https://www.facebook.com/marketplace/item/488165898380200/,7,N/A
