Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures,Estimated Fair Price,Fair Price Rating
2009 Acura TL,"$5,500",N/A,"101,000 miles",https://www.facebook.com/marketplace/item/773049779739666/,7,"$8,055",2555
2005 Nissan Altima 2.5 Sedan 4D,"$3,295",N/A,"119,000 miles",https://www.facebook.com/marketplace/item/2049188318712143/,7,"$3,006",-289
2009 Honda Accord Sedan,"$4,999",N/A,"138,915 miles",https://www.facebook.com/marketplace/item/304671673583307/,7,"$6,906",1907
2009 Nissan Altima,"$3,600",N/A,"111,000 miles",https://www.facebook.com/marketplace/item/605972493207546/,5,N/A,N/A
2006 Acura TSX Sedan 4D,"$3,500",N/A,"150,000 miles",https://www.facebook.com/marketplace/item/551146935391797/,4,"$5,857",2357
,"$4,900",N/A,,https://www.facebook.com/marketplace/item/789130984789254/,15,N/A,N/A
,,N/A,,https://www.facebook.com/marketplace/item/1002039926659734/,8,"$6,605",N/A
,,N/A,,https://www.facebook.com/marketplace/item/415012519270062/,5,4049.666666666666666666666667,N/A
2005 Honda Civic DX Sedan 4D,"$2,000",N/A,"171,000 miles",https://www.facebook.com/marketplace/item/338846006730301/,4,N/A,N/A
,"$2,999",N/A,,https://www.facebook.com/marketplace/item/916467751891877/,10,"$3,684",685
,,N/A,,https://www.facebook.com/marketplace/item/2121904081233726/,7,N/A,N/A
,,N/A,,https://www.facebook.com/marketplace/item/551700575327236/,9,"$9,503",N/A
2012 Honda Civic EX Sedan 4D,"$6,200",N/A,"121,000 miles",https://www.facebook.com/marketplace/item/398836134225771/,10,"$9,286",3086
,"$3,975",N/A,,https://www.facebook.com/marketplace/item/3197817970244207/,0,"$8,076",4101
,,N/A,,https://www.facebook.com/marketplace/item/2036262899826614/,12,"$6,830",N/A
,,N/A,,https://www.facebook.com/marketplace/item/961468444049278/,11,"$6,830",N/A
2006 Volkswagen Jetta 2.5,"$2,499",N/A,"148,923 miles · Dealership",https://www.facebook.com/marketplace/item/358955314869512/,9,"$6,830",N/A
,"$7,200",N/A,,https://www.facebook.com/marketplace/item/459385124597763/,9,"$6,830",N/A
,,N/A,,https://www.facebook.com/marketplace/item/614593022331830/,3,"$6,830",N/A
